"0","Reflect onto prepare those admit","202.37","0"
"1","Contain heavy upon require","414.94","0"
"2","Else wish peace know","122.24","1"
"3","Red about perhaps green","379.07","0"
"4","Claim Mr force","315.10","0"
"5","Always follow","58.13","0"
"6","Tree visit here give","308.73","1"
"7","Play crime produce","280.00","0"
"8","Shake agree","2.09","1"
"9","Leave speak behind student","81.70","0"
"10","Yes hard clear","450.59","1"
"11","His performance watch sign","444.74","1"
"12","Occur surface","225.20","1"
"13","Analysis health business","212.63","1"
"14","Cover thank","90.58","1"
"15","Individual carry pick room","71.89","0"
"16","Buy movement","363.31","1"
"17","Professor show","464.05","0"
"18","Half firm fish","301.06","0"
"19","Often usually","350.75","0"
"20","Check condition maintain strategy","69.05","1"
"21","Girl sure fund","136.74","0"
"22","Position fish admit","336.60","0"
"23","Quite crime administration","250.98","0"
"24","Account have south thank","331.71","1"
"25","Cover since various computer","130.12","0"
"26","Nice care scene","233.52","0"
"27","Use still successful south","372.11","0"
"28","Film marriage write in","206.60","0"
"29","Allow example model","463.40","0"
"30","Majority past camera almost","361.13","0"
"31","Able discuss beyond","197.53","0"
"32","Single address","147.71","1"
"33","Star member","136.19","1"
"34","Down sit base","453.28","0"
"35","Age series","387.45","0"
"36","Possible theory let pattern","311.00","1"
"37","Design whether available everyone","405.14","0"
"38","Question religious herself bill","208.06","1"
"39","From race street perform","123.80","1"
"40","Tv direction job","441.81","0"
"41","Poor list TV subject","338.48","0"
"42","Any turn blue college receive","395.96","0"
"43","Reduce find beat","233.81","1"
"44","Reflect stage visit","426.81","1"
"45","Charge recognize home create","249.47","1"
"46","Set special","13.52","0"
"47","What sign memory","278.71","1"
"48","Government society at","177.04","1"
"49","Position story sense painting","33.65","1"
"50","Figure home officer son walk","202.52","1"
"51","Street six price sort","253.99","1"
"52","Attention natural","285.34","0"
"53","Control local even","137.95","0"
"54","Pick very","413.65","0"
"55","Partner better turn factor","112.56","1"
"56","Material person cultural","221.32","1"
"57","Of perform something","339.97","0"
"58","Agreement former phone","246.51","1"
"59","All key develop suddenly","276.91","1"
"60","Accept popular line stage","110.65","0"
"61","Moment thus bar smile","450.31","1"
"62","Middle camera program","299.93","1"
"63","American case power teacher","261.40","0"
"64","Let party explain big list","483.95","1"
"65","Best mention","264.74","1"
"66","Four into lay game huge","247.98","1"
"67","Top road season course","65.19","0"
"68","Visit rather she trade","153.96","1"
"69","Foreign though during admit","68.27","1"
"70","Interview rule bag offer","132.73","0"
"71","Themselves purpose seat","484.00","1"
"72","And again","116.64","1"
"73","They garden through sport","222.70","0"
"74","Social similar attack finally","336.16","1"
"75","Staff style win","344.58","1"
"76","Though seat meet","346.73","1"
"77","History hotel leader","422.74","0"
"78","Board data newspaper I","496.82","1"
"79","Too sell hear party sure","268.97","0"
"80","Situation full north","209.04","0"
"81","Lawyer indeed response doctor watch","383.31","0"
"82","Today north throughout","243.94","1"
"83","Finally turn mean","332.99","1"
"84","Safe feeling","306.62","0"
"85","However industry buy score general","48.85","1"
"86","Environmental item majority","327.52","1"
"87","Behavior recently court leg","253.01","0"
"88","Station by long painting","385.79","1"
"89","Development painting course else account","242.52","0"
"90","Mission care set within","326.66","0"
"91","Same food base","435.68","1"
"92","Study image education career","95.12","1"
"93","Whose although beyond","209.36","0"
"94","At right","460.68","1"
"95","Professor past","94.54","0"
"96","Others home job","42.17","0"
"97","Sure late","367.36","0"
"98","Whether operation necessary some color","423.01","0"
"99","Three prepare","116.87","1"
"100","Listen prevent point glass","322.74","0"
"101","Population develop amount mouth","315.42","1"
"102","Kitchen carry movement","232.92","1"
"103","Line attention take","142.59","1"
"104","Foreign indeed within example research","339.95","0"
"105","Rest raise nor your education","73.93","0"
"106","Key many actually business","88.14","1"
"107","Improve culture represent","39.64","1"
"108","Within middle name","106.78","0"
"109","Town town present","61.78","0"
"110","Draw find action with try","347.74","0"
"111","Pass arm couple building","23.19","0"
"112","Create with teacher establish","491.13","1"
"113","Brother spend ahead action","495.76","1"
"114","Say event number","244.40","1"
"115","Billion past deep network","95.16","0"
"116","Challenge whether past","97.27","1"
"117","Recognize she father despite","78.17","1"
"118","Ago such begin body","361.71","1"
"119","Indeed drop believe let","76.70","0"
"120","Run nice stock success","169.51","0"
"121","Green name list","233.83","0"
"122","Hundred country how down final","7.07","0"
"123","Level rule stuff police people","96.28","1"
"124","Wait movie adult","433.09","1"
"125","Financial wall beyond","118.59","1"
"126","Minute question few","298.98","1"
"127","Doctor would natural","231.03","1"
"128","Onto would","48.64","0"
"129","Hospital effort store current","288.01","0"
"130","Product yet television","442.38","0"
"131","Care method wide scene upon","30.86","0"
"132","Fall bit nation reach","272.18","1"
"133","Role agency lose sing","325.22","1"
"134","Possible chance manage position","484.20","1"
"135","Moment soldier around oil college","247.39","0"
"136","Nature brother on agency part","487.07","1"
"137","Social protect style others response","164.40","0"
"138","Spend even happy whose","104.86","0"
"139","Free product","48.83","1"
"140","Political natural road","230.38","0"
"141","Company already discussion service technology","365.43","1"
"142","Carry investment mean wife","34.65","1"
"143","Environmental shoulder","106.64","1"
"144","So provide old clearly","7.16","1"
"145","Factor describe theory","384.05","1"
"146","Travel include that real","391.66","1"
"147","First street today hospital lead","497.15","1"
"148","Show church such","188.56","0"
"149","Analysis hope safe","322.01","0"
"150","Media bed win","179.29","1"
"151","Bed color station","298.82","1"
"152","Avoid positive","407.71","1"
"153","Democrat with nature property bank","410.65","0"
"154","Foreign interesting hold level audience","378.09","1"
"155","Suffer process radio something","341.36","1"
"156","Certain country","272.05","0"
"157","Special current each","74.95","1"
"158","Crime son yes","40.30","1"
"159","Break save society least","443.18","1"
"160","Yeah employee per","278.38","1"
"161","Conference around commercial","336.83","1"
"162","Former join base","98.20","0"
"163","Let of","348.37","1"
"164","Ground everything develop role","42.30","1"
"165","Someone prepare business our","479.48","0"
"166","Nearly play success role partner","253.55","0"
"167","Sell present community direction today","49.88","0"
"168","Business team audience","244.19","0"
"169","Tax appear moment","256.23","1"
"170","Important second computer cold event","221.29","0"
"171","Should morning none","216.11","1"
"172","Data money fall","344.78","0"
"173","Watch for others","486.23","1"
"174","After piece news Mrs","219.07","0"
"175","Along after somebody local","351.50","0"
"176","Impact particular central","389.38","0"
"177","Author civil stage possible","185.77","1"
"178","And black Republican sort","192.20","1"
"179","Wonder make","373.30","1"
"180","Consumer help area piece","424.12","0"
"181","North speech reason","393.59","1"
"182","Election line meet","268.94","1"
"183","Particularly indicate small become","289.66","1"
"184","Policy minute dinner at","198.97","0"
"185","Story the partner positive single","338.92","1"
"186","Sister yet fast","167.72","0"
"187","Class class at former","497.68","0"
"188","Yeah save tonight million themselves","73.00","0"
"189","Doctor ability security","100.63","0"
"190","Cover debate decade table visit","1.33","1"
"191","It only method rate","496.02","0"
"192","Blue remember account","390.50","1"
"193","East choice mind","118.51","0"
"194","Goal pretty fall clear","442.08","0"
"195","Develop fund building hand","185.82","1"
"196","Professor drive team into","29.43","1"
"197","Put entire PM able","313.90","1"
"198","Language lay area","200.70","0"
"199","Break sort","47.29","1"
"200","Skill white play affect significant","136.09","1"
"201","Especially class already","194.31","1"
"202","Himself sign again","380.48","0"
"203","Than occur occur","465.32","1"
"204","Item debate him alone","433.00","0"
"205","Mean performance act across expert","430.27","1"
"206","Book wonder development","316.98","1"
"207","None many house","296.85","0"
"208","Season audience","393.34","0"
"209","Successful pretty knowledge human","153.79","0"
"210","Enough responsibility","395.23","0"
"211","Left land rate consider","365.99","0"
"212","Far couple none community","214.02","1"
"213","City mother last score","203.16","0"
"214","Miss Mr","130.66","0"
"215","Interesting eat be","15.82","1"
"216","Hard stock fish road young","85.81","1"
"217","Nearly born herself how","217.41","0"
"218","First himself idea","48.24","0"
"219","Majority help","344.50","0"
"220","Camera two enter will","347.73","1"
"221","Avoid Congress list","88.26","0"
"222","Station team clearly so","83.25","1"
"223","Trial generation","88.65","1"
"224","Of instead tonight yet","304.66","0"
"225","Control major","199.03","0"
"226","Important much loss","90.14","0"
"227","Might people recent family","205.49","1"
"228","Seven might opportunity","261.32","1"
"229","Responsibility life","279.11","0"
"230","Whose model","294.20","1"
"231","Quickly involve year","18.31","0"
"232","Wear each","163.23","0"
"233","Authority position recently site","45.68","0"
"234","Opportunity mouth","334.59","0"
"235","Than two","398.60","1"
"236","Cause computer","456.14","1"
"237","How white visit","419.94","1"
"238","Short space morning movement","422.64","0"
"239","Tend art people","321.48","0"
"240","Would reveal all","237.63","1"
"241","Agent ok see civil forward","397.59","0"
"242","Soldier human they","28.99","0"
"243","Arm require open popular","337.61","0"
"244","Stop bill southern","497.14","0"
"245","Develop health billion region happen","487.64","0"
"246","Tonight my","435.54","0"
"247","Organization top through technology","451.12","1"
"248","Two technology get","58.55","1"
"249","Present authority son will rate","465.21","0"
"250","Include explain building","352.38","1"
"251","Today book support size","81.44","1"
"252","Dog management free","285.56","0"
"253","Eye after beat entire","451.73","0"
"254","Out purpose whole place","205.36","0"
"255","Organization arrive know contain","127.95","0"
"256","Quickly piece value education","428.33","0"
"257","What professional peace seven full","449.13","1"
"258","Find wait","111.79","1"
"259","Believe middle in","188.45","0"
"260","Learn west happy increase","20.64","0"
"261","Natural we provide","481.52","0"
"262","House prevent check","96.19","1"
"263","Performance such movie address","388.13","0"
"264","Impact explain civil positive","376.05","0"
"265","Finally effort skill assume","160.14","1"
"266","Decision camera","205.10","0"
"267","Nice certainly such imagine also","258.27","1"
"268","Ability garden rather form","353.82","0"
"269","Practice four stay would","474.70","1"
"270","His can already","394.72","0"
"271","Leg quite improve","227.07","0"
"272","Imagine reveal after","112.16","1"
"273","Science green","373.05","1"
"274","Continue certain drive public food","350.46","1"
"275","Should notice market","62.15","0"
"276","Style might evidence","219.26","0"
"277","Program space high about wish","186.71","0"
"278","Development edge","317.73","0"
"279","Cultural view together","42.88","0"
"280","Security add service activity","465.16","1"
"281","Probably commercial brother head","431.70","1"
"282","Need friend do among themselves","422.82","1"
"283","Make arm always","217.69","0"
"284","West player bar military","252.22","1"
"285","They join","73.02","1"
"286","Tax relationship determine","298.94","0"
"287","Choice author serve","270.97","0"
"288","Short always how","295.79","0"
"289","From purpose whom health","105.96","1"
"290","Again former fine dinner near","173.42","1"
"291","Seek charge friend","457.48","0"
"292","Sense play system he","171.00","1"
"293","Your vote","443.74","0"
"294","Pm source clear dog fast","362.15","1"
"295","Less enough how important","218.44","1"
"296","Animal enough southern particular institution","233.44","0"
"297","Very it eat likely town","474.39","0"
"298","Cold firm push","428.79","0"
"299","Course or charge trouble within","2.08","1"
"300","Condition reduce","134.89","1"
"301","By can this will right","155.33","0"
"302","President cut table boy her","137.18","1"
"303","Early shoulder blood left","105.78","1"
"304","Plant audience owner ok stock","187.67","1"
